Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Pfr_ID,AV,Team,Round,Pick,YardsfromScrimmage,CareerLength
Donte' Stallworth,WR,72,197,4.22,n/a,,,,,2002,StalDo00,19,New Orleans Saints,1,13,4935,10
John Ross,WR,71,188,4.22,37,,133,,,2017,RossJo00,0,Cincinnati Bengals,1,9,758,3
Chris Johnson,RB,71,197,4.24,35,,130,,,2008,JohnCh04,43,Tennessee Titans,1,24,11906,10
Dri Archer,WR,68,173,4.26,38,20,122,6.86,4.06,2014,ArchDr00,0,Pittsburgh Steelers,3,97,22,2
Marquise Goodwin,WR,69,183,4.27,,13,132,,,2013,GoodMa00,2,Buffalo Bills,3,78,2412,7
Jerome Mathis,WR,71,181,4.28,35.5,,123,,,2005,MathJe00,4,Houston Texans,4,114,80,3
Jacoby Ford,WR,69,186,4.28,33.5,15,115,7,4.44,2010,FordJa01,11,Oakland Raiders,4,108,1049,4
J.J. Nelson,WR,70,156,4.28,36,,127,7.02,4.15,2015,NelsJJ00,12,Arizona Cardinals,5,159,1595,5
Yamon Figurs,WR,71,174,4.3,,,123,6.85,4.21,2007,FiguYa00,2,Baltimore Ravens,3,74,96,4
Darrius Heyward-Bey,WR,74,210,4.3,38.5,16,126,6.8,4.18,2009,HeywDa00,13,Oakland Raiders,1,7,3091,10
Mike Thomas,WR,68,195,4.3,40.5,,126,6.65,4.28,2009,ThomMi01,20,Jacksonville Jaguars,4,107,2064,4
Santana Moss,WR,70,184,4.31,,,,,,2001,MossSa00,18,New York Jets,1,16,10570,14
Aaron Lockett,WR,67,155,4.31,35,,119,6.84,4.11,2002,,0,Tampa Bay Buccaneers,7,254,0,2
Deon Butler,WR,70,182,4.31,34.5,12,118,7.01,4.48,2009,ButlDe00,4,Seattle Seahawks,3,91,617,4
Tiquan Underwood,WR,73,184,4.31,41.5,7,129,6.62,4.11,2009,UndeTi00,1,Jacksonville Jaguars,7,253,1007,4
Clyde Gates,WR,72,192,4.31,40,16,131,,,2011,GateCl00,3,Miami Dolphins,4,111,381,3
Travis Benjamin,WR,70,172,4.31,38,14,119,,,2012,BenjTr00,7,Cleveland Browns,4,100,3411,8
Keith Marshall,RB,71,219,4.31,30.5,25,,,,2016,MarsKe00,0,Washington Redskins,7,242,0,1
Curtis Samuel,WR,71,196,4.31,37,18,119,7.09,4.33,2017,SamuCu00,2,Carolina Panthers,2,40,2565,4
Tim Carter,WR,72,190,4.32,39,,126,6.68,3.93,2002,CartTi00,4,New York Giants,2,46,1187,7
Troy Williamson,WR,73,203,4.32,,,,6.99,,2005,WillTr01,8,Minnesota Vikings,1,7,1189,5
